epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9221,1.49928,6.0934,1.41034,0.25921,0.06104,0.02544,0.02248,0.99568,5.57133,1.05644,1.872e-05,1.872e-05,1.872e-05
2,143.608,1.36169,5.68146,1.30493,0.33365,0.03335,0.03829,0.02676,1.02988,5.46108,1.0836,3.82278e-05,3.82278e-05,3.82278e-05
3,211.952,1.13842,5.00903,1.19906,0.42497,0.04197,0.04334,0.03008,1.0625,5.27586,1.10713,5.69325e-05,5.69325e-05,5.69325e-05
4,277.305,1.31236,4.68691,1.23962,0.59409,0.08858,0.0685,0.04123,1.06402,5.13719,1.10506,7.48341e-05,7.48341e-05,7.48341e-05
5,346.481,1.27863,4.46054,1.23938,0.5898,0.11778,0.07444,0.04383,1.09808,5.27277,1.11641,9.19327e-05,9.19327e-05,9.19327e-05
6,413.749,1.2545,4.10651,1.19051,0.46482,0.16445,0.08061,0.03723,1.09759,5.20021,1.11458,0.000108228,0.000108228,0.000108228
7,474.124,1.34982,3.79344,1.19685,0.51587,0.1,0.05163,0.03274,1.09724,4.95903,1.12391,0.00012372,0.00012372,0.00012372
8,536.605,1.14706,3.68505,1.11701,0.51962,0.09516,0.06267,0.0396,1.08474,4.88089,1.11315,0.000134378,0.000134378,0.000134378
9,599.157,1.13245,3.35782,1.1535,0.55099,0.09048,0.07807,0.04369,1.07438,4.72638,1.10796,0.00013129,0.00013129,0.00013129
10,659.397,1.07622,3.12055,1.08931,0.66678,0.05988,0.0925,0.04977,1.08542,4.62837,1.11457,0.000128201,0.000128201,0.000128201
11,728.411,1.08896,3.06902,1.12265,0.48728,0.09085,0.08405,0.04442,1.10581,4.54635,1.13118,0.000125112,0.000125112,0.000125112
12,789.956,1.1196,3.17532,1.17456,0.42696,0.09692,0.07039,0.03346,1.11657,4.49319,1.1373,0.000122023,0.000122023,0.000122023
13,851.093,1.10248,2.75838,1.10442,0.43807,0.04548,0.06708,0.03235,1.10928,4.50507,1.14145,0.000118934,0.000118934,0.000118934
14,917.913,1.04488,2.67614,1.12696,0.3661,0.05272,0.05255,0.02975,1.13373,4.49192,1.16608,0.000115846,0.000115846,0.000115846
15,978.232,1.05215,2.70805,1.14262,0.33512,0.04543,0.04825,0.02922,1.14448,4.48239,1.18002,0.000112757,0.000112757,0.000112757
16,1038.74,1.06206,2.65889,1.13173,0.33341,0.03835,0.06902,0.03181,1.13072,4.44843,1.16784,0.000109668,0.000109668,0.000109668
17,1101.82,1.04301,2.51789,1.12803,0.33803,0.04926,0.07009,0.0339,1.12862,4.41857,1.15875,0.000106579,0.000106579,0.000106579
18,1166.5,1.04262,2.46718,1.11526,0.43489,0.04466,0.06953,0.03335,1.14863,4.38641,1.16919,0.00010349,0.00010349,0.00010349
19,1232.41,1.03121,2.43762,1.09819,0.50142,0.04537,0.07419,0.03664,1.14733,4.36859,1.17179,0.000100402,0.000100402,0.000100402
20,1294.77,1.03975,2.38475,1.07795,0.55964,0.04489,0.07723,0.03927,1.13972,4.36197,1.16119,9.73128e-05,9.73128e-05,9.73128e-05
21,1360.52,1.04529,2.12503,1.08295,0.37618,0.06466,0.08049,0.042,1.1429,4.36733,1.15861,9.4224e-05,9.4224e-05,9.4224e-05
22,1424,1.0701,2.2045,1.08989,0.38159,0.08712,0.08877,0.0471,1.15478,4.38911,1.16142,9.11352e-05,9.11352e-05,9.11352e-05
23,1487.83,0.9938,2.04729,1.06224,0.3569,0.10603,0.08726,0.04792,1.15186,4.36094,1.15934,8.80464e-05,8.80464e-05,8.80464e-05
24,1551.15,1.05203,2.15495,1.09361,0.40881,0.0923,0.08444,0.0458,1.15489,4.35376,1.16891,8.49576e-05,8.49576e-05,8.49576e-05
25,1610.43,0.97029,1.86191,1.0667,0.43351,0.09807,0.06179,0.04099,1.16554,4.37691,1.17732,8.18688e-05,8.18688e-05,8.18688e-05
26,1672.15,0.95157,2.02349,1.04945,0.55564,0.06137,0.05681,0.03943,1.1593,4.38417,1.17657,7.878e-05,7.878e-05,7.878e-05
27,1734.03,0.9313,1.83668,1.07971,0.49157,0.09174,0.06516,0.04535,1.16895,4.40585,1.17711,7.56912e-05,7.56912e-05,7.56912e-05
28,1795.98,0.96889,1.90872,1.04375,0.4788,0.08189,0.07103,0.05056,1.18325,4.40441,1.17734,7.26024e-05,7.26024e-05,7.26024e-05
29,1858.17,0.98902,1.93342,1.07506,0.48012,0.07576,0.06647,0.04881,1.17283,4.38929,1.17557,6.95136e-05,6.95136e-05,6.95136e-05
30,1919.83,1.00869,1.81401,1.0732,0.47494,0.07489,0.07681,0.04939,1.17453,4.37856,1.17249,6.64248e-05,6.64248e-05,6.64248e-05
31,1981.34,0.97801,1.77427,1.10082,0.5478,0.07548,0.08374,0.05243,1.1434,4.3903,1.15574,6.3336e-05,6.3336e-05,6.3336e-05
32,2043.45,0.96884,1.66991,1.04786,0.45065,0.08081,0.0996,0.05474,1.13875,4.39945,1.15566,6.02472e-05,6.02472e-05,6.02472e-05
